                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.3727,                 2.3447,                 2.6328,                0.28491,                0.33227,                0.24969,                0.09682,                 2.4326,                 2.6933,                 2.6678,             0.00080653,             0.00080653,             0.00080653
                     46,                 2.3829,                 2.3049,                 2.6567,                0.25489,                0.35254,                0.27412,                0.10703,                 2.4018,                 2.4705,                 2.7016,             0.00079238,             0.00079238,             0.00079238
                     47,                 2.3343,                 2.2244,                 2.5685,                0.32883,                0.37488,                0.32025,                0.12734,                 2.3936,                 2.4501,                 2.6764,             0.00077823,             0.00077823,             0.00077823
                     48,                 2.3034,                 2.2059,                 2.5879,                0.32915,                 0.3799,                0.29719,                0.11148,                 2.4598,                 2.4496,                 2.7278,             0.00076409,             0.00076409,             0.00076409
                     49,                 2.3274,                 2.2293,                 2.5939,                0.37951,                0.41608,                0.31391,                0.11756,                 2.4967,                 2.4227,                 2.7581,             0.00074994,             0.00074994,             0.00074994
                     50,                 2.3468,                 2.2141,                 2.5655,                0.37825,                0.38389,                0.35313,                0.13065,                 2.5035,                  2.408,                 2.7017,             0.00073579,             0.00073579,             0.00073579
                     51,                 2.2974,                 2.3065,                 2.5834,                 0.3977,                0.36353,                 0.3735,                0.13553,                 2.4179,                 2.3191,                 2.6128,             0.00072164,             0.00072164,             0.00072164
                     52,                 2.2802,                 2.1843,                 2.5022,                0.28678,                0.38831,                0.25243,                0.09487,                 2.4272,                 2.4512,                 2.6631,              0.0007075,              0.0007075,              0.0007075
                     53,                 2.2425,                 2.2056,                 2.5188,                0.25175,                0.42202,                0.21545,                0.08667,                 2.4063,                 2.4771,                 2.6471,             0.00069335,             0.00069335,             0.00069335
                     54,                 2.3077,                 2.1705,                 2.4903,                0.36979,                0.38578,                0.36243,                0.13335,                  2.271,                 2.3123,                 2.5568,              0.0006792,              0.0006792,              0.0006792
                     55,                 2.2822,                 2.1766,                 2.4861,                0.49999,                0.39861,                0.40897,                0.14712,                 2.3321,                 2.2875,                 2.5834,             0.00066506,             0.00066506,             0.00066506
                     56,                 2.2069,                 2.1289,                 2.4887,                0.42034,                0.43343,                0.38926,                0.14341,                 2.3207,                   2.36,                 2.5753,             0.00065091,             0.00065091,             0.00065091
                     57,                 2.2284,                 2.0885,                 2.4519,                 0.4075,                0.41182,                0.40542,                0.15553,                 2.3268,                 2.3146,                 2.5747,             0.00063676,             0.00063676,             0.00063676
                     58,                 2.2106,                 2.0926,                 2.4577,                0.50769,                0.43356,                 0.4294,                0.17204,                 2.2795,                 2.2403,                 2.5454,             0.00062262,             0.00062262,             0.00062262
                     59,                  2.164,                 2.0792,                 2.3965,                0.53398,                0.36713,                0.45008,                0.18348,                 2.1957,                 2.1824,                 2.4753,             0.00060847,             0.00060847,             0.00060847
                     60,                 2.1292,                 2.0363,                 2.3948,                0.58929,                0.34777,                0.44205,                0.16948,                 2.1913,                 2.2144,                 2.4841,             0.00059432,             0.00059432,             0.00059432
                     61,                 2.1815,                 1.9779,                 2.3971,                0.46976,                0.40132,                0.43252,                0.16914,                 2.1774,                 2.2335,                  2.483,             0.00058017,             0.00058017,             0.00058017
                     62,                 2.1476,                 2.0327,                 2.4203,                0.45673,                0.40909,                0.39819,                 0.1653,                 2.1174,                 2.2624,                 2.4337,             0.00056603,             0.00056603,             0.00056603
                     63,                  2.168,                 1.9988,                 2.3985,                0.46684,                0.41822,                0.41512,                0.16619,                 2.1466,                 2.2704,                 2.4372,             0.00055188,             0.00055188,             0.00055188
                     64,                 2.1575,                 2.0017,                 2.3668,                0.50678,                0.37853,                0.46442,                0.18849,                 2.1379,                 2.1339,                 2.3982,             0.00053773,             0.00053773,             0.00053773
                     65,                 2.0469,                  1.969,                 2.3212,                0.58019,                0.36772,                0.47541,                0.19525,                 2.1532,                 2.0796,                 2.3943,             0.00052359,             0.00052359,             0.00052359
                     66,                 2.0978,                 1.9755,                  2.365,                 0.4001,                 0.4019,                0.43575,                0.17979,                 2.1456,                 2.1227,                 2.3861,             0.00050944,             0.00050944,             0.00050944
                     67,                 2.1091,                  1.934,                 2.3275,                0.40302,                 0.4144,                0.42461,                0.18406,                 2.1099,                 2.1536,                 2.3805,             0.00049529,             0.00049529,             0.00049529
                     68,                 2.0532,                 1.8989,                 2.2926,                0.47522,                0.40545,                0.42178,                0.17974,                 2.1115,                 2.1535,                 2.3571,             0.00048114,             0.00048114,             0.00048114
                     69,                 2.0501,                 1.9288,                 2.2931,                0.40909,                0.41155,                0.43804,                0.17912,                 2.1252,                 2.1296,                 2.3725,               0.000467,               0.000467,               0.000467
                     70,                 2.0484,                 1.9581,                 2.3144,                0.52627,                0.44942,                0.45888,                0.18713,                 2.1251,                 2.1462,                  2.369,             0.00045285,             0.00045285,             0.00045285
                     71,                 2.0037,                 1.8995,                 2.2644,                0.47517,                0.48153,                0.44853,                0.18795,                 2.0839,                 2.1404,                 2.3452,              0.0004387,              0.0004387,              0.0004387
                     72,                 2.0691,                 1.9406,                 2.3478,                0.37476,                 0.4621,                0.47737,                0.19107,                 2.1008,                 2.0774,                 2.3339,             0.00042456,             0.00042456,             0.00042456
                     73,                 2.0356,                  1.894,                  2.326,                0.36419,                0.49013,                0.47097,                0.19351,                  2.074,                 2.0477,                 2.3065,             0.00041041,             0.00041041,             0.00041041
                     74,                  2.077,                 1.9095,                 2.3044,                0.58102,                0.48736,                0.49342,                0.21366,                 2.0105,                 1.9693,                 2.2516,             0.00039626,             0.00039626,             0.00039626
                     75,                  1.989,                 1.8973,                 2.2329,                0.58954,                0.49132,                0.52831,                0.22594,                 2.0199,                  1.968,                 2.2571,             0.00038211,             0.00038211,             0.00038211
                     76,                 2.0384,                 1.8359,                 2.2915,                0.56555,                0.44613,                0.52368,                0.23209,                 1.9941,                 1.9684,                 2.2762,             0.00036797,             0.00036797,             0.00036797
                     77,                 2.0461,                 1.8471,                 2.2624,                0.55249,                0.42224,                0.51157,                 0.2279,                  1.988,                 1.9735,                 2.2887,             0.00035382,             0.00035382,             0.00035382
                     78,                 2.0047,                 1.8186,                 2.2228,                0.50204,                 0.4796,                0.50106,                0.21579,                 2.0449,                 1.9833,                 2.3196,             0.00033967,             0.00033967,             0.00033967
                     79,                 2.0203,                 1.9028,                 2.2759,                0.47444,                0.50395,                0.47381,                0.19909,                 2.1482,                 2.0066,                 2.3603,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.9605,                 1.8113,                 2.2269,                0.57449,                0.42157,                0.50765,                 0.2023,                 2.1286,                 2.0283,                 2.3556,             0.00031138,             0.00031138,             0.00031138
